"","FDR corrected Pvalue","ST Comparison Group Pvalue","SW Comparison Group Pvalue","TW Comparison Group Pvalue","ST Comparison Group Effect Size","SW Comparison Group Effect Size","TW Comparison Group Effect Size","ST Comparison Group Lower CI","ST Comparison Group Higher CI","SW Comparison Group Lower CI","SW Comparison Group Higher CI","TW Comparison Group Lower CI","TW Comparison Group Higher CI"
"PRh_R",0.0250674282602183,0.00794,0.825,0.0357,0.288798638077555,1.51456812371115,1.22259080613906,0.00477138588055226,0.0335818152743005,-0.0109972224483177,0.0178132069454305,-0.0305914519639979,-0.000945764693742066
"A24a_R",0.0250674282602183,0.00526,0.274,0.167,-0.632942701387839,-1.75423063070738,-0.994889995966557,-0.0385107063914175,-0.0064374146088708,-0.0261425147357213,0.00593077704682542,-0.00413338082901264,0.0288697641404051
"MPtA_L",0.0250674282602183,0.00537,0.172,0.268,0.963102758616111,1.48127367416655,0.753000989718844,0.00200294135690061,0.0120701873538511,-0.00129093048288314,0.00877631551406731,-0.00847342717405952,0.00188568349449201
"RMC_R",0.026147553824562,0.044,0.00879,0.762,-1.64354131388283,-1.1127021027534,0.332886503010104,-0.00346643244539106,-4.14444076981004e-05,-0.00396203630250731,-0.000537048264814347,-0.00225774566489933,0.00126653795066684
"TeA_L",0.026147553824562,0.0234,0.0136,0.97,1.32908915725588,1.30855148287034,-0.123591656545828,0.00403092100402529,0.0610816226889219,0.00676908273875897,0.0638197844236556,-0.0266141821263077,0.032090505595775
"V2L_R",0.0264499726557478,0.00753,0.0669,0.604,1.02897277579373,1.52891340406566,0.502737823969537,0.00831101270652368,0.0571723202516766,-0.00138658243548262,0.0474747251096703,-0.0348365304786265,0.0154413401946139
"PVG_R",0.0268668567173811,0.0359,0.0107,0.858,-1.34089750020887,-1.28285076241742,0.271333451074156,-0.002234874237138,-6.78704038827001e-05,-0.00246949088376192,-0.000302487050506624,-0.00134953092082896,0.000880297627581108
"MiTg_L",0.0268898215898814,0.969,0.02,0.0143,-1.27369596894119,0.112777387726983,1.54645175145305,-0.00720925674488576,0.00873903334740384,-0.017298057917082,-0.00134976782479241,-0.0182941287310061,-0.00188347361338638
"PtPR_L",0.0317121277140206,0.0082,0.116,0.46,1.1580360658151,1.43941328885172,0.525601852887681,0.000324439851774334,0.00231705473656318,-0.00016967307312503,0.00182294181166382,-0.00151930482532494,0.000531078975526209
"Su5_L",0.0317121277140206,0.0141,0.037,0.905,-1.10666458390395,-1.27694927747227,-0.286244530031458,-0.00670547225208409,-0.000695181468818129,-0.00618102841368284,-0.000170737630416875,-0.00256782525847427,0.00361671293527678
