Structure,Abbreviation
Inferior Colliculus (R),IC_R
Substantia Nigra (R),SN_R
Red Nucleus Parvicellular (R),RPC_R
Midbrain Reticular Nucleus (R),MRN_R
Rostral Linear Nucleus (R),RI_R
Cuneiform Nucleus (R),Cn_R
Precuneiform Nucleus (R),PrCn_R
Brain Stem Rest (R),BS_R_R
Interpeduncular Nucleus (R),Iped_R
Cerebellar Cortex (R),Cb_1_10_R
Dentate (Lateral) Nucleus of Cerebellum (R),Den_R
Interposed Nucleus of Cerebellum (R),Int_R
Fastigial Medial Dorsolateral Nucleus of Cerebellum (R),FasDL_R
Fastigial Medial Nucleus of Cerebellum (R),FasMed_R
Ventral Lateral Lemniscus Nucleus (R),Vll_R
Parabrachial Nucleus (R),ParB_R
Parabrachial Medial Nucleus and Koelliker Fuse Nucleus (R),KF_R
Parvicellular Reticular Nucleus and Principal Sensory Trigeminal Nucleus (R),PCRt_R
Central Gray (R),CG_R
Pedunculotegmental Medial Paralemniscial and Supratrigemnial Nuclei (R),Su5_R
Motor Root of Trigeminal Nerve (R),m5_R
Trigeminal Motor Nucleus (R),5N_R
Pontine Reticular Nucleus (R),PnC_R
Raphe Nucleus (R),Raph_R
Trigeminal Sensory Nucleus (R),Pr5_R
Dorsal Tegmentum (R),DTg_R
Tegmental Nucleus (R),Tg_R
Cochlear Nucleus (R),CoN_R
Pontine Nucleus (R),Pn_R
Reticulotegmental Nucleus of Pons (R),RTg_R
Olivary Complex (R),Oliv_R
Pontine Reticular Nucleus (R),PnRt_R
Spinal Trigeminal Nucleus (R),Sp5_R
Vestibular Nuclei (R),Ve_R
Gigantocellular Reticular Nucleus (R),Gi_R
Cuneate Nucleus (R),Cu_R
Anterior Commisure (R),ac_R
Optic Tracts (R),ot_R
Fimbria (R),fi_R
Corpus Callosum (R),cc_R
Fornix (R),fx_R
Stria Terminalis (R),st_R
Cingulum (R),cg_R
Lateral Olfactory Tract (R),lo_R
Ventral Hippocampal Commissure (R),vhc_R
Internal Capsule (R),ic_R
Fasciculus Retroflexus (R),fr_R
Stria Medularis (R),sm_R
Mamillothalamic Tract (R),mt_R
Posterior Commissure (R),pc_R
Brachium of Superior Colliculus (R),bsc_R
Cerebral Peduncle (R),cp_R
Lateral Lemniscus (R),ll_R
Spinal Trigeminal Nerve (R),sp5_R
Pyramidal Tract (R),py_R
Vestibulocochlear Nerve (R),n8_R
Facial Nerve (R),n7_R
Longitudinal Fasciculus of Pons (R),lfp_R
Medial Longitudinal Fasciculus and Tectospinal Tract (R),mlf_ts_R
Spinocerebellar Tract (R),sc_R
Medial Lemniscus (R),ml_R
Ventral Spinocerebellar Tract (R),vsc_R
Middle Cerebellar Peduncle (R),mcp_R
Superior Cerebellar Peduncle (R),scp_R
Inferior Cerebellar Peduncle (R),icp_oc_tz_R
Cerebellar White Matter (R),cbw_R
Lateral Ventricle (R),LV_R
Cingulate Cortex Area 25 (R),A25_R
Dorsal Acustic Stria (R),das_R
Postsubiculum (R),Post_R
Ventricular System 4thVentricle (R),4V_R
Microcellular Tegmental Nucleus (R),MiTg_R
Pretectal Nucleus (R),APT_R
Latero Dorsal Thalamic Nucleus Ventro Lateral (R),LDVL_R
Latero Posterior Nuclei of Thalamus (R),LP_R
Anterior Thalamic Nuclei (R),AThal_R
Red Nucleus Magnocellular (R),RMC_R
Pararubral Nucleus (R),PaR_R
Retro Rubral Field (R),RR_R
Cerebrospinal fluid (R),CSF_R
IntermediateReticularNucleus (R),IRN_R
PosteriorDorsal ParaventricularMedialParvicellular Posterior LateralHypothalamus (R),PHD_PaMP_Post_and_LatHy_R
Prerubral Forel (R),PR_p3Tg_L_R
PVG of Hypothalamus (R),PVG_R
Basal Lateral Amygdala (R),BLA_R
"TotalBrain (L,R)",Brain
